dataset,n_samples,n_features,schedule_id,label,kind,effective_k,depth_1_trees,depth_2_trees,depth_3_trees,n_estimators,fit_time_s,accuracy
iris,150,4,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.2933388501871377,0.9473684210526315
iris,150,4,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.60800818761345,0.9473684210526315
iris,150,4,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,1.1324570833239704,0.9473684210526315
iris,150,4,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,4.600804494391196,0.9473684210526315
iris,150,4,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,6.593710298091173,0.9473684210526315
hayes_roth,160,4,pure_k1_5,"k=1, T=5",pure_size,1.0,5,0,0,5,0.005454710382036865,0.725
hayes_roth,160,4,pure_k1_10,"k=1, T=10",pure_size,1.0,10,0,0,10,0.01090942076407373,0.725
hayes_roth,160,4,pure_k1_25,"k=1, T=25",pure_size,1.0,25,0,0,25,0.027273551910184324,0.725
hayes_roth,160,4,pure_k1_50,"k=1, T=50",pure_size,1.0,50,0,0,50,0.05454710382036865,0.725
hayes_roth,160,4,pure_k1_100,"k=1, T=100",pure_size,1.0,100,0,0,100,0.1090942076407373,0.725
hayes_roth,160,4,pure_k2_5,"k=2, T=5",pure_size,2.0,0,5,0,5,0.019750249991193413,0.6
hayes_roth,160,4,pure_k2_10,"k=2, T=10",pure_size,2.0,0,10,0,10,0.039500499982386826,0.625
hayes_roth,160,4,pure_k2_25,"k=2, T=25",pure_size,2.0,0,25,0,25,0.09875124995596707,0.85
hayes_roth,160,4,pure_k2_50,"k=2, T=50",pure_size,2.0,0,50,0,50,0.19750249991193414,0.85
hayes_roth,160,4,pure_k2_100,"k=2, T=100",pure_size,2.0,0,100,0,100,0.3950049998238683,0.85
hayes_roth,160,4,pure_k3_1,"k=3, T=1",pure_size,3.0,0,0,1,1,0.007291200011968613,0.6
hayes_roth,160,4,pure_k3_3,"k=3, T=3",pure_size,3.0,0,0,3,3,0.021873600035905837,0.575
hayes_roth,160,4,pure_k3_5,"k=3, T=5",pure_size,3.0,0,0,5,5,0.03645600005984306,0.6
hayes_roth,160,4,mix_1_95_2_05,95% k=1 + 5% k=2,mixture,1.05,95,5,0,100,0.12338974724989385,0.725
hayes_roth,160,4,mix_1_90_2_10,90% k=1 + 10% k=2,mixture,1.1,90,10,0,100,0.1376852868590504,0.725
hayes_roth,160,4,mix_1_75_2_25,75% k=1 + 25% k=2,mixture,1.25,75,25,0,100,0.18057190568652004,0.75
hayes_roth,160,4,mix_1_50_2_50,50% k=1 + 50% k=2,mixture,1.5,50,50,0,100,0.2520496037323028,0.9
hayes_roth,160,4,mix_1_95_3_05,95% k=1 + 5% k=3,mixture,1.1,95,0,5,100,0.14009549731854348,0.75
hayes_roth,160,4,mix_2_95_3_05,95% k=2 + 5% k=3,mixture,2.05,0,95,5,100,0.41171074989251794,0.85
